,person,cluster,centroid_latitude,centroid_longitude,count,count_per_person,mean_duration_mins_weekend,mean_duration_mins_workday,mean_start_mins_of_day_weekend,mean_start_mins_of_day_workday,std_duration_mins_weekend,std_duration_mins_workday,std_start_mins_of_day_weekend,std_start_mins_of_day_workday,min_duration_mins_weekend,min_duration_mins_workday,min_start_mins_of_day_weekend,min_start_mins_of_day_workday,max_duration_mins_weekend,max_duration_mins_workday,max_start_mins_of_day_weekend,max_start_mins_of_day_workday,count_duration_mins_weekend,count_duration_mins_workday,count_start_mins_of_day_weekend,count_start_mins_of_day_workday
163,person2,87,51.15744889473683,4.385717168421054,19,3,0.0,36.0,0.0,651.0,0.0,30.805843601498726,0.0,40.0374824383352,0,1,0,624,0,59,0,697,0,3,0,3
164,person2,88,50.985027714285714,4.8373833428571436,7,7,0.0,73.57142857142857,0.0,1227.142857142857,0.0,72.1476660349156,0.0,65.70750482613222,0,0,0,1110,0,188,0,1284,0,7,0,7
165,person2,89,51.212337,4.3577657,2,2,11.0,0.0,1150.0,0.0,8.48528137423857,0.0,7.0710678118654755,0.0,5,0,1145,0,17,0,1155,0,2,0,2,0
166,person2,90,51.062346999999995,3.8686697,1,1,10.0,0.0,1131.0,0.0,,,,,10,0,1131,0,10,0,1131,0,1,0,1,0
167,person2,91,51.557373,5.0910926,1,1,0.0,31.0,0.0,1305.0,,,,,0,31,0,1305,0,31,0,1305,0,1,0,1
168,person2,92,51.400383000000005,4.7285247,1,1,0.0,0.0,0.0,1362.0,,,,,0,0,0,1362,0,0,0,1362,0,1,0,1
169,person2,93,51.317875,4.5757413,1,1,0.0,0.0,0.0,1369.0,,,,,0,0,0,1369,0,0,0,1369,0,1,0,1
170,person2,94,51.268485999999996,4.488132,1,1,0.0,3.0,0.0,1376.0,,,,,0,3,0,1376,0,3,0,1376,0,1,0,1
171,person2,95,51.198574,4.436262999999999,1,1,0.0,3.0,0.0,1110.0,,,,,0,3,0,1110,0,3,0,1110,0,1,0,1
172,person2,96,51.19975,4.5876904000000005,1,1,0.0,1.0,0.0,1120.0,,,,,0,1,0,1120,0,1,0,1120,0,1,0,1
173,person2,97,51.10348,4.869653700000001,1,1,0.0,0.0,0.0,1141.0,,,,,0,0,0,1141,0,0,0,1141,0,1,0,1
174,person2,98,51.023759999999996,4.840315,1,1,0.0,1.0,0.0,1154.0,,,,,0,1,0,1154,0,1,0,1154,0,1,0,1
175,person2,99,51.262363,4.433858,1,1,6.0,0.0,778.0,0.0,,,,,6,0,778,0,6,0,778,0,1,0,1,0
176,person2,100,51.30922,4.5572870000000005,1,1,3.0,0.0,791.0,0.0,,,,,3,0,791,0,3,0,791,0,1,0,1,0
177,person2,101,51.586584,4.778798350000001,2,2,70.5,0.0,920.5,0.0,84.14570696119915,0.0,144.95689014324225,0.0,11,0,818,0,130,0,1023,0,2,0,2,0
178,person2,102,51.560432,4.820035,1,1,1.0,0.0,1041.0,0.0,,,,,1,0,1041,0,1,0,1041,0,1,0,1,0
179,person2,103,51.461765,4.7245545,1,1,3.0,0.0,1048.0,0.0,,,,,3,0,1048,0,3,0,1048,0,1,0,1,0
180,person2,104,51.352573,4.6273565,1,1,2.0,0.0,1055.0,0.0,,,,,2,0,1055,0,2,0,1055,0,1,0,1,0
181,person2,105,51.29356,4.524383,1,1,3.0,0.0,1063.0,0.0,,,,,3,0,1063,0,3,0,1063,0,1,0,1,0
182,person2,106,51.156372,4.8206773,1,1,0.0,0.0,0.0,1077.0,,,,,0,0,0,1077,0,0,0,1077,0,1,0,1
183,person3,8,51.21255020855614,4.398739472058829,748,89,10.0,181.4659090909091,971.0,726.2045454545455,0.0,196.0456168393537,0.0,218.64121447878148,10,0,971,423,10,590,971,1210,1,88,1,88
184,person3,21,51.19415651724139,4.401603062068967,29,13,14.666666666666666,4.2,1043.3333333333333,813.1,11.06044001535804,4.638007234913623,38.030689361794806,305.8443503919382,3,0,1013,449,25,12,1086,1122,3,10,3,10
185,person3,22,51.197059374999995,4.4160273875,8,1,117.0,0.0,878.0,0.0,,,,,117,0,878,0,117,0,878,0,1,0,1,0
